,betweenness
Guatemala,0.626835696271712
lopezobrador_,0.27930740145029737
MPguatemala,0.12200659989285007
jimmymoralesgt,0.07266563906672897
nayibbukele,0.06041513395967699
m_ebrard,0.05330592134932212
prensa_libre,0.04586812763228151
México,0.03238996602792471
Venezuela,0.030233633533602245
mmendoza_GT,0.029951939069862123
ManfredoGuate,0.02943420387117604
SupportBitkovs,0.028985507246376812
CICIGgt,0.027191748822061646
AHORA,0.02634580775848082
Elecciones2019,0.026152909271951793
Claudiashein,0.02456037390642541
GobiernoMX,0.02453689894885165
AristeguiOnline,0.02433209421446265
Mexico,0.023601558759434593
CNNEE,0.022226770553326704
mike_pence,0.02012902629565309
Honduras,0.01710025340304452
GtMlp,0.01626439809959046
realDonaldTrump,0.015511057846316028
An0nymous_GT,0.0147360372571508
EnVivo,0.014685642790115735
12Jun,0.014475376220762521
Negocios,0.014388489208633096
ElijoDignidad,0.014388489208633093
PublinewsGT,0.014388489208633093
muniguate,0.014388489208633093
ATITLAN4,0.014388489208633093
patriciasandogt,0.014388489208633093
argentina,0.014388489208633093
adn40,0.014388489208633093
MovimientoWinaq,0.012513015547110007
ElMundoSV,0.011916256737688605
georgesoros,0.0117914737419672
EUElecciones2019,0.010083064081055618
CaraotaDigital,0.009256242662561089
DHSgov,0.008196708870860622
EmisorasUnidas,0.008134242001930457
Veracruz,0.0077241935823153625
LeonKrauze,0.007563613769267089
Reforma,0.006182666107702258
Colombia,0.005760142276453519
Latinoamerica,0.004662876136132314
fulloa51,0.0044974410082323744
SandraTorresGUA,0.004244772172570198
RepublicaDominicana,0.004168379430573766
El_andarin,0.004122581851702902
Argentina,0.003962325871192638
Ivan_Velasquez_,0.0033708549817401874
jimmyporguate,0.003233604992510159
PlazaPublicaGT,0.002709430422911813
ConsultaPara,0.0023324197784629444
elsalvadorcom,0.0022613793023552194
MXvsCORRUPCION,0.0018541688388419696
GuatemalaGob,0.0018122575983757759
SAT,0.0017016565642315325
Alvarado,0.0017016565642315325
El_Universal_Mx,0.0014504997736559933
samuel_pz,0.0012291761359981479
SCJN,0.001218652407266733
CDMX,0.0011763104796458435
cdmx,0.0011702439290803377
Panama,0.0011471280455070405
España,0.0011220836995000276
4T,0.0010510859256926339
econokafka,0.0008760693308707071
Bolivia,0.000636261177393489
SecPompeo,0.0005873562019949258
HijasDeLaMx,0.0005843070807467575
mariottoro,0.0005560768776283321
ferbelaunzaran,0.0005128026319768577
Ecuador,0.00030162205639215335
Cuba,0.00022756122224373712
PRI_Nacional,0.00019115142668473916
Galdamez_Kaibil,0.00017377402425885376
InformaTVX,0.00017136792238450042
WinaqEsPueblo,9.731345358495812e-05
ElCambioLoHacemosJuntos,9.731345358495812e-05
jorgeramosnews,5.560768776283321e-05
ElFinanciero_Mx,0.0
13Jun,0.0
sandrajovel6,0.0
Elecciones,0.0
AdrianSoto_EU,0.0
sanchezcastejon,0.0
AztecaNoticiaGT,0.0
DDHH,0.0
relato_gt,0.0
Carloslopezjone,0.0
DrsergioHernan3,0.0
DeniseMaerker,0.0
nytimeses,0.0
DanielHabif,0.0
ClaudioXGG,0.0
Criptomonedas,0.0
CarlosLoret,0.0
fernvampi,0.0
EncuentroGuate,0.0
SantaFe,0.0
Oaxaca,0.0
PNC_SV,0.0
PactoDeCorruptos,0.0
Perico8461,0.0
Presidente,0.0
Puebla,0.0
Roboaguilar,0.0
SenRubioPress,0.0
NACIONALES,0.0
TrabajoInfantil,0.0
VicGarciaNou,0.0
VolcancitoVisto,0.0
cuba,0.0
dw_espanol,0.0
elsolde_mexico,0.0
fabbiolaCastro,0.0
Nacional,0.0
hecch,0.0
Entérate,0.0
Guatevision_tv,0.0
FMLNoficial,0.0
FelizJueves,0.0
FelizMiércoles,0.0
Forbes_Mexico,0.0
lopezdoriga,0.0
lahoragt,0.0
Guadalajara,0.0
HsilvAvalos,0.0
Milenio,0.0
Internacionales,0.0
Jackskinripper,0.0
Lizgottik,0.0
ilegalidad,0.0
M_OlgaSCordero,0.0
https://t.co/nu1jfOuGlL,0.0
vampipe,0.0
vpelsalvador,0.0
