,betweenness
lopezobrador_,0.5163069751776791
México,0.17077334983818895
nayibbukele,0.15171038814746937
Honduras,0.13371338731461396
Mexico,0.12661319458878437
Venezuela,0.12561939593425955
m_ebrard,0.09387233907553692
12Jun,0.04968354430379747
Veracruz,0.04665136414186067
Colombia,0.040135921953950146
Claudiashein,0.039938552388291755
ElMundoSV,0.0378159147462945
GobiernoMX,0.03519946880789653
mike_pence,0.03336497890295359
InformaTVX,0.03160215839013308
realDonaldTrump,0.030706751054852335
cdmx,0.028570675105485242
Negocios,0.025
argentina,0.025
adn40,0.025
georgesoros,0.020913200723327308
AristeguiOnline,0.019641726943942138
Panama,0.014079561437156376
Argentina,0.01205751126477995
LeonKrauze,0.011402953586497892
España,0.011062433908943101
Reforma,0.010750452079566005
El_Universal_Mx,0.008987341772151896
Bolivia,0.00830047891597545
RepublicaDominicana,0.007357825274336817
4T,0.0063742419675964015
CDMX,0.006196880650994574
SCJN,0.003492335076279112
ConsultaPara,0.003322784810126582
HijasDeLaMx,0.0028875783147935047
econokafka,0.0026236128776102137
Ecuador,0.002604276384329878
SecPompeo,0.0019725738396624477
ferbelaunzaran,0.0018679676511954993
Cuba,0.0012879279651431552
PRI_Nacional,0.0006856540084388185
jorgeramosnews,0.00016877637130801687
13Jun,0.0
Alvarado,0.0
ElFinanciero_Mx,0.0
DanielHabif,0.0
DeniseMaerker,0.0
ClaudioXGG,0.0
CaraotaDigital,0.0
DHSgov,0.0
CarlosLoret,0.0
Criptomonedas,0.0
Carloslopezjone,0.0
Entérate,0.0
vampipe,0.0
FMLNoficial,0.0
FelizJueves,0.0
nytimeses,0.0
lopezdoriga,0.0
ilegalidad,0.0
https://t.co/nu1jfOuGlL,0.0
fulloa51,0.0
fabbiolaCastro,0.0
elsalvadorcom,0.0
cuba,0.0
SenRubioPress,0.0
SantaFe,0.0
SAT,0.0
Puebla,0.0
PNC_SV,0.0
Oaxaca,0.0
Milenio,0.0
sanchezcastejon,0.0
Lizgottik,0.0
Latinoamerica,0.0
Jackskinripper,0.0
Internacionales,0.0
Guadalajara,0.0
Forbes_Mexico,0.0
FelizMiércoles,0.0
M_OlgaSCordero,0.0
