,betweenness
lopezobrador_,0.8650000000000001
LeonKrauze,0.08166666666666667
adn40,0.08
AristeguiOnline,0.054444444444444455
georgesoros,0.044444444444444446
Reforma,0.044444444444444446
GobiernoMX,0.01
ferbelaunzaran,0.006666666666666667
ConsultaPara,0.006666666666666667
ElFinanciero_Mx,0.0
CarlosLoret,0.0
Carloslopezjone,0.0
ClaudioXGG,0.0
DHSgov,0.0
DanielHabif,0.0
DeniseMaerker,0.0
nytimeses,0.0
FelizMiércoles,0.0
HijasDeLaMx,0.0
Lizgottik,0.0
M_OlgaSCordero,0.0
Milenio,0.0
SCJN,0.0
jorgeramosnews,0.0
lopezdoriga,0.0
Jackskinripper,0.0
