,betweenness
lopezobrador_,0.41400324369680014
jimmymoralesgt,0.3220637317552394
MPguatemala,0.20805574884961447
México,0.13771640944398525
nayibbukele,0.12420599790389018
Mexico,0.0937924057767038
Honduras,0.07477967210297992
Venezuela,0.06901798597503338
GobiernoMX,0.06760035062556348
Elecciones2019,0.0669893155611975
EmisorasUnidas,0.06592792411580099
CICIGgt,0.05926020124164502
m_ebrard,0.04407091319099202
SupportBitkovs,0.03672326389306992
ManfredoGuate,0.03527980535279805
mmendoza_GT,0.034444091822701785
EnVivo,0.03301523314600395
Ivan_Velasquez_,0.03293193224960918
AristeguiOnline,0.030154238429389153
prensa_libre,0.029536972307521336
AHORA,0.028677306684288608
fulloa51,0.027772024630164902
12Jun,0.027187136358827885
ElMundoSV,0.025334372129040484
DHSgov,0.023549934673387566
Claudiashein,0.023242698821973395
Colombia,0.020871600935598502
mike_pence,0.01816115317384755
El_andarin,0.018125449077527778
Veracruz,0.017751476528581046
realDonaldTrump,0.01670961095746878
cdmx,0.015051659085299195
CNNEE,0.014541656845687307
An0nymous_GT,0.014281180577594414
PublinewsGT,0.013646461440812439
Negocios,0.013646461440812439
ATITLAN4,0.013646461440812439
argentina,0.013646461440812439
adn40,0.013646461440812439
patriciasandogt,0.013646461440812439
muniguate,0.013646461440812439
InformaTVX,0.012872631089070313
georgesoros,0.011073833955458834
EUElecciones2019,0.008691370338466496
MXvsCORRUPCION,0.008680959601302348
jimmyporguate,0.008105262627636474
GtMlp,0.006950174547762615
LeonKrauze,0.006919949826963472
Reforma,0.006797539707726955
WinaqEsPueblo,0.006770337459007722
ElCambioLoHacemosJuntos,0.006770337459007722
HijasDeLaMx,0.006138320812747227
El_Universal_Mx,0.006122520943212792
Argentina,0.005984498663539077
GuatemalaGob,0.0057230508833174655
España,0.0055989655582344726
ConsultaPara,0.005574949751401671
Panama,0.005518881367818211
RepublicaDominicana,0.004818904984585343
Bolivia,0.0044641112497844785
4T,0.0042578241686834625
SCJN,0.0028464199103428087
CDMX,0.0026886148514203103
PlazaPublicaGT,0.002196245753846515
mariottoro,0.0018176048007847434
econokafka,0.001780754663715796
Ecuador,0.001237622304476112
SecPompeo,0.000756373637998519
Cuba,0.0006857547638252174
ferbelaunzaran,0.0006244343359544883
SandraTorresGUA,0.00031735956839098697
PRI_Nacional,0.0002292041327268239
Galdamez_Kaibil,0.0002002387752943132
jorgeramosnews,5.641947882506435e-05
AdrianSoto_EU,0.0
13Jun,0.0
Alvarado,0.0
AztecaNoticiaGT,0.0
Entérate,0.0
EncuentroGuate,0.0
DDHH,0.0
ElijoDignidad,0.0
Elecciones,0.0
CaraotaDigital,0.0
Carloslopezjone,0.0
ClaudioXGG,0.0
FMLNoficial,0.0
ElFinanciero_Mx,0.0
Criptomonedas,0.0
DrsergioHernan3,0.0
DeniseMaerker,0.0
DanielHabif,0.0
CarlosLoret,0.0
vpelsalvador,0.0
FelizJueves,0.0
SantaFe,0.0
TrabajoInfantil,0.0
VicGarciaNou,0.0
VolcancitoVisto,0.0
cuba,0.0
dw_espanol,0.0
elsalvadorcom,0.0
elsolde_mexico,0.0
fabbiolaCastro,0.0
fernvampi,0.0
hecch,0.0
https://t.co/nu1jfOuGlL,0.0
ilegalidad,0.0
lahoragt,0.0
lopezdoriga,0.0
nytimeses,0.0
relato_gt,0.0
samuel_pz,0.0
sanchezcastejon,0.0
sandrajovel6,0.0
SenRubioPress,0.0
SAT,0.0
FelizMiércoles,0.0
Roboaguilar,0.0
Forbes_Mexico,0.0
Guadalajara,0.0
Guatevision_tv,0.0
HsilvAvalos,0.0
Internacionales,0.0
Jackskinripper,0.0
Latinoamerica,0.0
Lizgottik,0.0
M_OlgaSCordero,0.0
vampipe,0.0
MovimientoWinaq,0.0
NACIONALES,0.0
Nacional,0.0
Oaxaca,0.0
PNC_SV,0.0
PactoDeCorruptos,0.0
Perico8461,0.0
Presidente,0.0
Puebla,0.0
Milenio,0.0
