,centrality
lopezobrador_,0.42500000000000004
Venezuela,0.23750000000000002
Colombia,0.23750000000000002
Veracruz,0.225
Mexico,0.225
Argentina,0.21250000000000002
España,0.21250000000000002
Bolivia,0.2
México,0.2
Ecuador,0.1875
Honduras,0.1875
nayibbukele,0.17500000000000002
Panama,0.15000000000000002
CDMX,0.15000000000000002
Cuba,0.1375
Guadalajara,0.1375
Puebla,0.1375
m_ebrard,0.1375
Claudiashein,0.125
GobiernoMX,0.1125
Oaxaca,0.1125
AristeguiOnline,0.08750000000000001
argentina,0.08750000000000001
realDonaldTrump,0.08750000000000001
georgesoros,0.08750000000000001
ConsultaPara,0.07500000000000001
HijasDeLaMx,0.0625
ferbelaunzaran,0.0625
Reforma,0.0625
LeonKrauze,0.0625
SCJN,0.0625
ElMundoSV,0.0625
mike_pence,0.0625
cdmx,0.0625
DeniseMaerker,0.05
sanchezcastejon,0.05
4T,0.05
SantaFe,0.05
Jackskinripper,0.05
lopezdoriga,0.05
ClaudioXGG,0.05
12Jun,0.037500000000000006
SecPompeo,0.037500000000000006
econokafka,0.037500000000000006
PRI_Nacional,0.037500000000000006
vampipe,0.037500000000000006
Alvarado,0.037500000000000006
Lizgottik,0.037500000000000006
InformaTVX,0.037500000000000006
Criptomonedas,0.037500000000000006
M_OlgaSCordero,0.025
adn40,0.025
ElFinanciero_Mx,0.025
fulloa51,0.025
El_Universal_Mx,0.025
elsalvadorcom,0.025
Negocios,0.025
DHSgov,0.025
CarlosLoret,0.025
Forbes_Mexico,0.025
SenRubioPress,0.025
nytimeses,0.025
Latinoamerica,0.025
RepublicaDominicana,0.025
13Jun,0.025
jorgeramosnews,0.025
ilegalidad,0.0125
Carloslopezjone,0.0125
DanielHabif,0.0125
CaraotaDigital,0.0125
PNC_SV,0.0125
https://t.co/nu1jfOuGlL,0.0125
fabbiolaCastro,0.0125
cuba,0.0125
FMLNoficial,0.0125
FelizJueves,0.0125
FelizMiércoles,0.0125
Internacionales,0.0125
SAT,0.0125
Milenio,0.0125
Entérate,0.0125
