,centrality
MPguatemala,0.3877551020408163
CICIGgt,0.2040816326530612
jimmymoralesgt,0.16326530612244897
jimmyporguate,0.14285714285714285
Elecciones2019,0.12244897959183673
EmisorasUnidas,0.12244897959183673
AHORA,0.12244897959183673
Ivan_Velasquez_,0.12244897959183673
GuatemalaGob,0.1020408163265306
ManfredoGuate,0.1020408163265306
Galdamez_Kaibil,0.1020408163265306
SupportBitkovs,0.08163265306122448
EUElecciones2019,0.08163265306122448
prensa_libre,0.08163265306122448
An0nymous_GT,0.08163265306122448
PublinewsGT,0.08163265306122448
Roboaguilar,0.08163265306122448
sandrajovel6,0.08163265306122448
El_andarin,0.08163265306122448
lahoragt,0.061224489795918366
AdrianSoto_EU,0.061224489795918366
CNNEE,0.061224489795918366
mmendoza_GT,0.061224489795918366
ATITLAN4,0.061224489795918366
ElCambioLoHacemosJuntos,0.061224489795918366
SandraTorresGUA,0.061224489795918366
WinaqEsPueblo,0.061224489795918366
mariottoro,0.04081632653061224
hecch,0.04081632653061224
MovimientoWinaq,0.04081632653061224
PlazaPublicaGT,0.04081632653061224
Perico8461,0.04081632653061224
muniguate,0.04081632653061224
patriciasandogt,0.04081632653061224
Guatevision_tv,0.04081632653061224
GtMlp,0.04081632653061224
EnVivo,0.04081632653061224
relato_gt,0.02040816326530612
samuel_pz,0.02040816326530612
Nacional,0.02040816326530612
fernvampi,0.02040816326530612
elsolde_mexico,0.02040816326530612
VicGarciaNou,0.02040816326530612
PactoDeCorruptos,0.02040816326530612
NACIONALES,0.02040816326530612
MXvsCORRUPCION,0.02040816326530612
EncuentroGuate,0.02040816326530612
DrsergioHernan3,0.02040816326530612
AztecaNoticiaGT,0.02040816326530612
vpelsalvador,0.02040816326530612
