,centrality
nayibbukele,0.5263157894736842
m_ebrard,0.3157894736842105
ElMundoSV,0.2631578947368421
realDonaldTrump,0.2631578947368421
SecPompeo,0.15789473684210525
mike_pence,0.15789473684210525
sanchezcastejon,0.15789473684210525
PRI_Nacional,0.10526315789473684
SenRubioPress,0.10526315789473684
elsalvadorcom,0.10526315789473684
fulloa51,0.10526315789473684
InformaTVX,0.10526315789473684
econokafka,0.10526315789473684
RepublicaDominicana,0.05263157894736842
Entérate,0.05263157894736842
fabbiolaCastro,0.05263157894736842
https://t.co/nu1jfOuGlL,0.05263157894736842
PNC_SV,0.05263157894736842
Forbes_Mexico,0.05263157894736842
FMLNoficial,0.05263157894736842
