,centrality
lopezobrador_,0.2692307692307693
Colombia,0.14615384615384616
MPguatemala,0.14615384615384616
Venezuela,0.14615384615384616
Mexico,0.13846153846153847
Veracruz,0.13846153846153847
México,0.13076923076923078
España,0.13076923076923078
Argentina,0.13076923076923078
Bolivia,0.12307692307692308
Honduras,0.11538461538461539
Ecuador,0.11538461538461539
nayibbukele,0.11538461538461539
jimmymoralesgt,0.1
CDMX,0.09230769230769231
Panama,0.09230769230769231
Puebla,0.08461538461538462
Guadalajara,0.08461538461538462
Cuba,0.08461538461538462
m_ebrard,0.08461538461538462
CICIGgt,0.07692307692307693
Claudiashein,0.07692307692307693
GobiernoMX,0.07692307692307693
Oaxaca,0.06923076923076923
AristeguiOnline,0.06153846153846154
AHORA,0.05384615384615385
jimmyporguate,0.05384615384615385
argentina,0.05384615384615385
georgesoros,0.05384615384615385
ConsultaPara,0.05384615384615385
realDonaldTrump,0.05384615384615385
Ivan_Velasquez_,0.046153846153846156
Elecciones2019,0.046153846153846156
EmisorasUnidas,0.046153846153846156
HijasDeLaMx,0.046153846153846156
SCJN,0.038461538461538464
GuatemalaGob,0.038461538461538464
Galdamez_Kaibil,0.038461538461538464
LeonKrauze,0.038461538461538464
mike_pence,0.038461538461538464
ferbelaunzaran,0.038461538461538464
ManfredoGuate,0.038461538461538464
ElMundoSV,0.038461538461538464
Reforma,0.038461538461538464
cdmx,0.038461538461538464
SantaFe,0.03076923076923077
sanchezcastejon,0.03076923076923077
sandrajovel6,0.03076923076923077
Jackskinripper,0.03076923076923077
ClaudioXGG,0.03076923076923077
4T,0.03076923076923077
EUElecciones2019,0.03076923076923077
An0nymous_GT,0.03076923076923077
Roboaguilar,0.03076923076923077
SupportBitkovs,0.03076923076923077
prensa_libre,0.03076923076923077
CNNEE,0.03076923076923077
DeniseMaerker,0.03076923076923077
El_andarin,0.03076923076923077
fulloa51,0.03076923076923077
PublinewsGT,0.03076923076923077
lopezdoriga,0.03076923076923077
SandraTorresGUA,0.023076923076923078
econokafka,0.023076923076923078
PRI_Nacional,0.023076923076923078
WinaqEsPueblo,0.023076923076923078
12Jun,0.023076923076923078
EnVivo,0.023076923076923078
Lizgottik,0.023076923076923078
ATITLAN4,0.023076923076923078
AdrianSoto_EU,0.023076923076923078
Alvarado,0.023076923076923078
vampipe,0.023076923076923078
Criptomonedas,0.023076923076923078
DHSgov,0.023076923076923078
ElCambioLoHacemosJuntos,0.023076923076923078
SecPompeo,0.023076923076923078
mmendoza_GT,0.023076923076923078
lahoragt,0.023076923076923078
InformaTVX,0.023076923076923078
adn40,0.015384615384615385
nytimeses,0.015384615384615385
muniguate,0.015384615384615385
patriciasandogt,0.015384615384615385
mariottoro,0.015384615384615385
jorgeramosnews,0.015384615384615385
elsalvadorcom,0.015384615384615385
hecch,0.015384615384615385
vpelsalvador,0.015384615384615385
SenRubioPress,0.015384615384615385
MovimientoWinaq,0.015384615384615385
CarlosLoret,0.015384615384615385
ElFinanciero_Mx,0.015384615384615385
El_Universal_Mx,0.015384615384615385
Forbes_Mexico,0.015384615384615385
GtMlp,0.015384615384615385
Guatevision_tv,0.015384615384615385
MXvsCORRUPCION,0.015384615384615385
M_OlgaSCordero,0.015384615384615385
13Jun,0.015384615384615385
Latinoamerica,0.015384615384615385
RepublicaDominicana,0.015384615384615385
Negocios,0.015384615384615385
PlazaPublicaGT,0.015384615384615385
Perico8461,0.015384615384615385
fabbiolaCastro,0.007692307692307693
FMLNoficial,0.007692307692307693
AztecaNoticiaGT,0.007692307692307693
CaraotaDigital,0.007692307692307693
samuel_pz,0.007692307692307693
relato_gt,0.007692307692307693
Carloslopezjone,0.007692307692307693
DanielHabif,0.007692307692307693
DrsergioHernan3,0.007692307692307693
VicGarciaNou,0.007692307692307693
EncuentroGuate,0.007692307692307693
Entérate,0.007692307692307693
FelizJueves,0.007692307692307693
NACIONALES,0.007692307692307693
FelizMiércoles,0.007692307692307693
PactoDeCorruptos,0.007692307692307693
PNC_SV,0.007692307692307693
Internacionales,0.007692307692307693
SAT,0.007692307692307693
cuba,0.007692307692307693
ilegalidad,0.007692307692307693
https://t.co/nu1jfOuGlL,0.007692307692307693
Nacional,0.007692307692307693
elsolde_mexico,0.007692307692307693
fernvampi,0.007692307692307693
Milenio,0.007692307692307693
