,centrality
lopezobrador_,0.2536231884057971
Venezuela,0.13768115942028986
Colombia,0.13768115942028986
MPguatemala,0.13768115942028986
Veracruz,0.13043478260869565
Mexico,0.13043478260869565
España,0.12318840579710146
Argentina,0.12318840579710146
México,0.12318840579710146
Bolivia,0.11594202898550725
nayibbukele,0.10869565217391304
Ecuador,0.10869565217391304
Honduras,0.10869565217391304
jimmymoralesgt,0.09420289855072464
Panama,0.08695652173913043
CDMX,0.08695652173913043
Guadalajara,0.07971014492753624
Cuba,0.07971014492753624
Puebla,0.07971014492753624
m_ebrard,0.07971014492753624
GobiernoMX,0.07246376811594203
Claudiashein,0.07246376811594203
CICIGgt,0.07246376811594203
Oaxaca,0.06521739130434782
AristeguiOnline,0.057971014492753624
argentina,0.050724637681159424
AHORA,0.050724637681159424
ConsultaPara,0.050724637681159424
jimmyporguate,0.050724637681159424
realDonaldTrump,0.050724637681159424
georgesoros,0.050724637681159424
HijasDeLaMx,0.043478260869565216
Ivan_Velasquez_,0.043478260869565216
Elecciones2019,0.043478260869565216
EmisorasUnidas,0.043478260869565216
Galdamez_Kaibil,0.036231884057971016
GuatemalaGob,0.036231884057971016
cdmx,0.036231884057971016
SCJN,0.036231884057971016
LeonKrauze,0.036231884057971016
ElMundoSV,0.036231884057971016
ferbelaunzaran,0.036231884057971016
ManfredoGuate,0.036231884057971016
Reforma,0.036231884057971016
mike_pence,0.036231884057971016
sanchezcastejon,0.028985507246376812
4T,0.028985507246376812
Roboaguilar,0.028985507246376812
SantaFe,0.028985507246376812
fulloa51,0.028985507246376812
Jackskinripper,0.028985507246376812
An0nymous_GT,0.028985507246376812
CNNEE,0.028985507246376812
sandrajovel6,0.028985507246376812
ClaudioXGG,0.028985507246376812
PublinewsGT,0.028985507246376812
prensa_libre,0.028985507246376812
SupportBitkovs,0.028985507246376812
DeniseMaerker,0.028985507246376812
EUElecciones2019,0.028985507246376812
lopezdoriga,0.028985507246376812
El_andarin,0.028985507246376812
econokafka,0.021739130434782608
SecPompeo,0.021739130434782608
PRI_Nacional,0.021739130434782608
WinaqEsPueblo,0.021739130434782608
12Jun,0.021739130434782608
ElCambioLoHacemosJuntos,0.021739130434782608
mmendoza_GT,0.021739130434782608
ATITLAN4,0.021739130434782608
AdrianSoto_EU,0.021739130434782608
Alvarado,0.021739130434782608
vampipe,0.021739130434782608
Criptomonedas,0.021739130434782608
DHSgov,0.021739130434782608
Lizgottik,0.021739130434782608
SandraTorresGUA,0.021739130434782608
EnVivo,0.021739130434782608
lahoragt,0.021739130434782608
InformaTVX,0.021739130434782608
muniguate,0.014492753623188406
nytimeses,0.014492753623188406
patriciasandogt,0.014492753623188406
SenRubioPress,0.014492753623188406
mariottoro,0.014492753623188406
adn40,0.014492753623188406
jorgeramosnews,0.014492753623188406
hecch,0.014492753623188406
elsalvadorcom,0.014492753623188406
vpelsalvador,0.014492753623188406
El_Universal_Mx,0.014492753623188406
MovimientoWinaq,0.014492753623188406
GtMlp,0.014492753623188406
Guatevision_tv,0.014492753623188406
RepublicaDominicana,0.014492753623188406
Latinoamerica,0.014492753623188406
MXvsCORRUPCION,0.014492753623188406
M_OlgaSCordero,0.014492753623188406
13Jun,0.014492753623188406
ElFinanciero_Mx,0.014492753623188406
Forbes_Mexico,0.014492753623188406
CarlosLoret,0.014492753623188406
Negocios,0.014492753623188406
PlazaPublicaGT,0.014492753623188406
Perico8461,0.014492753623188406
EncuentroGuate,0.007246376811594203
AztecaNoticiaGT,0.007246376811594203
FelizJueves,0.007246376811594203
FMLNoficial,0.007246376811594203
Entérate,0.007246376811594203
CaraotaDigital,0.007246376811594203
DanielHabif,0.007246376811594203
DrsergioHernan3,0.007246376811594203
ElijoDignidad,0.007246376811594203
Elecciones,0.007246376811594203
samuel_pz,0.007246376811594203
relato_gt,0.007246376811594203
FelizMiércoles,0.007246376811594203
Carloslopezjone,0.007246376811594203
SAT,0.007246376811594203
Milenio,0.007246376811594203
ilegalidad,0.007246376811594203
NACIONALES,0.007246376811594203
PactoDeCorruptos,0.007246376811594203
PNC_SV,0.007246376811594203
VicGarciaNou,0.007246376811594203
VolcancitoVisto,0.007246376811594203
https://t.co/nu1jfOuGlL,0.007246376811594203
Nacional,0.007246376811594203
cuba,0.007246376811594203
dw_espanol,0.007246376811594203
elsolde_mexico,0.007246376811594203
fabbiolaCastro,0.007246376811594203
fernvampi,0.007246376811594203
Internacionales,0.007246376811594203
DDHH,0.0
TrabajoInfantil,0.0
Presidente,0.0
HsilvAvalos,0.0
